S. No,State/UT,Year,Season,Scheme,Notified Districts,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
3,CHHATTISGARH,2020,2,4,24,"4,547","2,35,499","5,60,043","1,36,160",358.97,"1,781.72","7,690.92","7,690.92","1,18,782.24",90.91,9.01,0.08,9.79,7.09,75.39,7.73,20.53,53.65,25.82,0,25,0,"24,262",0,0,"24,287","1,61,995"
9,MAHARASHTRA,2020,2,4,32,"1,713","5,65,975","1,08,254","10,93,670",733.94,"4,231.18","29,333.74","25,247.88","2,50,973.04",81.44,18.54,0.02,2.69,0.76,29.05,67.5,9.45,81.06,9.49,0,"3,427",0,"1,343",293,0,"5,063","50,990"
1,CHHATTISGARH,2020,2,2,27,478,"5,963","6,334","6,486",5.66,267.39,"1,078.52",546.99,"5,347.86",91.09,8.89,0.02,4.34,15.66,59.13,20.87,15.77,51.17,33.06,0,0,0,0,0,565,565,"3,834"
5,MAHARASHTRA,2020,2,2,30,"1,238","1,52,518","1,03,185","1,10,257",160.96,"10,717.26","20,167.81","16,198.99","2,14,345.19",84.25,15.7,0.05,4.04,1.5,36.46,58,16.1,70.78,13.12,0,0,0,0,0,"25,422","25,422","84,822"
3,CHHATTISGARH,2021,1,4,28,"18,622","12,64,404","45,71,374","2,87,268","1,934.32","15,764.66","52,064.90","52,064.90","7,88,233.65",89.33,10.58,0.09,9.42,24.25,61.1,5.23,21.71,53.44,24.85,0,34,0,"98,592",656,0,"99,282","4,89,935"
11,MAHARASHTRA,2021,1,4,34,"2,430","36,02,696","10,45,372","73,32,992","4,857.69","44,054.75","2,10,641.24","1,94,618.04","18,88,262.40",80.45,19.53,0.02,4.63,2.32,33.79,59.26,10.14,83.13,6.73,0,"2,41,818","45,014","80,786","8,052",0,"3,75,670","27,33,219"
1,CHHATTISGARH,2021,1,2,28,574,"11,270","7,048","15,218",12.29,632.73,"3,454.39","1,458.26","12,654.51",89.04,10.93,0.03,4.88,18.91,61.15,15.06,18,58.43,23.57,0,0,0,0,0,"3,706","3,706","11,099"
5,MAHARASHTRA,2021,1,2,25,911,"1,04,175","50,914","79,331",97.36,"5,531.78","4,915.35","4,558.02","1,07,818.34",84.18,15.8,0.02,2.72,0.57,28.23,68.48,9.94,75.86,14.2,0,0,0,0,0,"13,332","13,332","62,630"
3,CHHATTISGARH,2021,2,4,25,"4,478","2,22,040","7,90,472","1,49,234",342.11,"1,794.00","7,672.22","7,672.22","1,19,601.18",90.87,9.05,0.08,8.62,7.61,77.04,6.73,21.23,53.89,24.88,0,914,0,"37,480",0,0,"38,394","1,82,643"
11,MAHARASHTRA,2021,2,4,32,"1,762","6,59,723","1,06,148","11,33,855",840.85,"4,849.76","34,074.88","28,458.72","2,93,817.97",81.97,18.01,0.02,2.6,0.78,29.81,66.81,9.96,80.88,9.16,0,"7,296",0,"3,110",121,0,"10,527","61,339"
1,CHHATTISGARH,2021,2,2,28,571,"8,952","5,127","13,033",8.91,417.95,"1,930.07",884.65,"8,359.04",88.7,11.25,0.05,5.13,20.57,60.5,13.8,18.18,59.14,22.68,0,0,0,0,0,"1,819","1,819","8,139"
5,MAHARASHTRA,2021,2,2,30,"1,155","98,521","87,470","68,136",113.06,"11,833.66","28,206.22","18,008.51","1,50,939.08",84.34,15.6,0.06,1.45,1.77,40.19,56.59,18.6,67.51,13.89,0,0,0,0,0,"71,286","71,286","89,965"
4,CHHATTISGARH,2022,1,4,28,"18,865","13,10,681","60,88,004","2,82,364","1,909.67","17,281.31","57,142.60","57,142.60","8,64,065.77",89.46,10.43,0.11,8.98,26.15,59.57,5.3,21.07,53.61,25.32,0,9,0,"23,647",16,0,"23,672","1,55,571"
12,MAHARASHTRA,2022,1,4,34,"2,464","43,54,222","7,49,148","89,02,988","5,741.98","65,379.87","1,87,357.00","1,87,052.23","27,72,866.75",80.1,19.88,0.02,5.14,2.08,33.27,59.51,7.9,87.15,4.95,179,"2,30,415","65,790","59,565","45,233",0,"4,01,182","32,99,317"
1,CHHATTISGARH,2022,1,2,28,597,"16,060","8,311","36,378",16.9,"1,008.65","5,547.69","2,365.44","20,173.03",88.12,11.83,0.05,4.74,14.5,68.59,12.17,17.11,60.33,22.56,0,0,0,0,0,"4,009","4,009","14,955"
5,MAHARASHTRA,2022,1,2,26,886,"88,587","46,114","68,521",81.85,"4,622.03","4,245.09","3,904.51","89,978.97",84.54,15.43,0.03,2.65,0.59,26.6,70.16,8.7,73.77,17.53,0,0,0,0,0,"5,728","5,728","25,974"
4,CHHATTISGARH,2022,2,4,24,"4,576","2,67,938","10,53,348","2,18,575",384.2,"2,050.94","8,839.90","8,839.90","1,36,730.89",90.67,9.24,0.09,8.27,8.49,76.73,6.51,21.22,55.37,23.41,0,201,0,"22,377",697,0,"23,275","1,67,148"
