S. No,State/UT,Year,Season,Scheme,District Name,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
1,ANDHRA PRADESH,2018,1,4,Anantapur,85,"11,410","11,445",582,17.33,450.51,283.64,283.64,"9,425.31",66.51,33.49,0,6.66,0.44,60.01,32.89,6.26,85.13,8.61,0,0,0,"1,627",0,0,"1,627","10,550"
2,ANDHRA PRADESH,2018,1,4,Chittoor,611,"22,217","22,934",16,18.37,767.29,50.53,50.53,"21,762.86",70.41,29.53,0.06,6.46,0.81,40.09,52.64,16.68,75.46,7.86,0,0,0,171,0,0,171,"1,475"
3,ANDHRA PRADESH,2018,1,4,East Godavari,"1,192","1,51,736","1,60,872","3,473",96.29,"1,451.26","2,948.60","2,948.60","70,002.15",64.46,35.48,0.06,4.86,1.35,37.17,56.62,12.77,82,5.23,0,0,0,303,0,0,303,"2,197"
4,ANDHRA PRADESH,2018,1,4,Guntur,402,"17,581","17,993","1,967",16.22,246.11,123.79,123.79,"11,996.44",65.59,34.33,0.08,6.03,0.63,46.94,46.4,23.94,68.79,7.27,0,0,0,200,3,0,203,"1,486"
5,ANDHRA PRADESH,2018,1,4,Krishna,833,"77,818","82,887",201,60.31,"1,186.25","1,232.59","1,232.59","56,451.75",68.03,31.93,0.04,5.21,0.51,34.52,59.76,31.9,60.8,7.3,0,0,0,118,"2,237",0,"2,355","14,076"
6,ANDHRA PRADESH,2018,1,4,Kurnool,632,"58,336","55,601","3,825",73.44,"2,138.62","2,409.93","2,409.93","55,956.39",73.17,26.78,0.05,6.63,1.37,54.66,37.34,14.68,68.71,16.61,0,0,0,"8,095",0,0,"8,095","21,244"
7,ANDHRA PRADESH,2018,1,4,Prakasam,499,"29,240","10,088","28,609",32.36,586.29,754.84,754.84,"19,633.42",70.82,29.14,0.04,5.71,0.96,34.36,58.97,12.91,80,7.09,0,0,0,"7,339",0,0,"7,339","25,599"
8,ANDHRA PRADESH,2018,1,4,Sri Potti Sriramulu Nellore,833,"14,855","15,368",48,19.08,238.17,0,0,"13,428.32",65.44,34.54,0.02,10.64,1.06,46.11,42.19,20.7,67.33,11.97,0,0,0,269,0,0,269,"2,370"
9,ANDHRA PRADESH,2018,1,4,Srikakulam,"1,752","1,61,770","1,75,924","1,390",119.72,"1,847.71","1,621.16","1,621.16","90,492.85",74.08,25.88,0.04,1.88,2.17,69.61,26.34,11.48,83.33,5.19,0,0,588,"8,847",0,0,"9,435","60,759"
10,ANDHRA PRADESH,2018,1,4,Visakhapatnam,"1,030","30,013","28,851","4,023",18.67,377.21,181.03,181.03,"17,462.16",73.73,26.23,0.04,1.55,6.91,43.38,48.16,22.86,68.72,8.42,0,0,0,"2,770",19,0,"2,789","13,753"
11,ANDHRA PRADESH,2018,1,4,Vizianagaram,"1,298","59,515","60,707","5,988",45.26,704.77,537.2,537.2,"33,984.30",72.77,27.2,0.03,1.97,4.37,70.83,22.83,13.61,76.53,9.86,0,0,0,"4,114",4,0,"4,118","22,599"
12,ANDHRA PRADESH,2018,1,4,West Godavari,786,"1,40,586","1,49,167","1,665",87.39,"1,274.98","1,743.82","1,743.82","62,198.83",61.58,38.28,0.14,3.95,0.13,38.57,57.35,11.53,84.05,4.42,0,810,0,"1,102",0,0,"1,912","13,922"
13,ANDHRA PRADESH,2018,1,4,Y.S.R.,400,"55,243","53,883","7,693",80.47,"3,037.32","2,523.18","2,523.18","66,444.78",67.84,32.04,0.12,5.05,0.54,28.55,65.86,17.54,61.24,21.22,"13,536",0,0,"1,070",0,0,"14,606","45,131"
1,ASSAM,2018,1,4,Baksa,2,321,321,0,0.19,2.29,2.05,2.05,112.38,96.88,2.8,0.32,1.87,71.65,4.05,22.43,81.31,10.9,7.79,0,0,0,0,0,0,0,0
2,ASSAM,2018,1,4,Barpeta,5,765,766,0,0.59,7.02,0,0,351.07,95.43,4.57,0,0.13,11.75,1.44,86.68,43.73,56.01,0.26,0,0,0,0,0,0,0,0
3,ASSAM,2018,1,4,Bongaigaon,2,540,540,0,0.38,4.5,8.79,8.79,224.86,94.81,5.19,0,2.41,8.52,10.74,78.33,54.63,12.96,32.41,0,0,0,3,0,0,3,183
4,ASSAM,2018,1,4,Cachar,5,665,635,35,0.35,4.14,1.24,1.24,207.13,92.39,7.61,0,3.88,0.45,5.67,90,38.81,11.64,49.55,0,0,0,1,0,0,1,51
5,ASSAM,2018,1,4,Chirang,1,177,178,0,0.26,3.14,3.72,3.72,155.62,82.58,17.42,0,0.56,92.7,0.56,6.18,93.26,5.62,1.12,0,0,0,0,0,0,0,0
6,ASSAM,2018,1,4,Darrang,1,52,53,0,0.04,0.0367,0,0,24.48,98.11,1.89,0,0,0,16.98,83.02,69.81,20.75,9.44,0,0,0,0,0,0,0,0
7,ASSAM,2018,1,4,Dhemaji,4,70,69,1,0.08,0.9518,0.1095,0.1095,47.59,85.71,14.29,0,2.86,31.43,52.86,12.85,51.43,20,28.57,0,0,0,2,0,0,2,31
8,ASSAM,2018,1,4,Dhubri,3,534,535,0,0.26,3.1,3.24,3.24,155.09,85.42,14.58,0,0.56,0,2.43,97.01,64.49,35.33,0.18,0,0,0,0,0,0,0,0
9,ASSAM,2018,1,4,Dibrugarh,7,677,589,94,0.48,4.54,0,0,287.48,75.99,24.01,0,7.17,11.71,49.34,31.78,56.52,37.77,5.71,0,0,0,0,0,0,0,0
10,ASSAM,2018,1,4,Goalpara,5,800,759,46,0.54,6.29,0,0,324.35,85.96,14.04,0,0.25,25.47,26.09,48.19,35.03,57.39,7.58,0,0,0,0,0,0,0,0
11,ASSAM,2018,1,4,Golaghat,6,252,252,2,0.2,2.41,0.9461,0.9461,120.53,75.59,24.41,0,1.18,7.48,58.66,32.68,34.65,65.35,0,0,0,0,0,0,0,0,0
12,ASSAM,2018,1,4,Hailakandi,4,593,579,20,0.54,1.61,0,0,321.33,90.98,9.02,0,23.54,5.51,8.68,62.27,19.7,59.1,21.2,0,0,0,0,0,0,0,0
13,ASSAM,2018,1,4,Jorhat,6,932,937,0,0.83,7.11,0,0,493.54,75.88,24.12,0,6.51,57.52,11.85,24.12,72.47,27.21,0.32,0,0,0,0,0,0,0,0
14,ASSAM,2018,1,4,Kamrup,9,638,627,18,0.46,5.44,0.6803,0.6803,272.14,90.39,9.61,0,6.51,11.78,17.52,64.19,54.42,43.88,1.7,0,0,0,0,0,0,0,0
15,ASSAM,2018,1,4,Kamrup Metropolitan,3,286,286,0,0.22,0.2093,0,0,130.84,72.03,27.97,0,27.62,29.72,16.43,26.23,26.57,72.73,0.7,0,0,0,0,0,0,0,0
16,ASSAM,2018,1,4,Karbi Anglong,2,234,234,0,0.27,0.2461,0,0,164.07,64.53,35.47,0,10.26,78.21,8.55,2.98,95.73,0.43,3.84,0,0,0,0,0,0,0,0
17,ASSAM,2018,1,4,Karimganj,5,777,720,69,0.52,6.22,0.5445,0.5445,311.18,83.4,16.6,0,23.95,0.76,23.32,51.97,29.78,59.32,10.9,0,0,0,0,0,0,0,0
18,ASSAM,2018,1,4,Lakhimpur,5,"2,123","1,781",348,1.67,20,54.06,54.06,"1,000.19",89.81,10.1,0.09,10.76,22.03,38.28,28.93,60.45,39.41,0.14,0,0,0,0,0,0,0,0
19,ASSAM,2018,1,4,Morigaon,5,137,137,0,0.1,1.14,0.6702,0.6702,56.8,92.7,7.3,0,1.46,12.41,13.14,72.99,43.8,44.53,11.67,0,0,0,0,0,0,0,0
20,ASSAM,2018,1,4,Nagaon,10,"6,977","6,914",66,4.29,51.26,13.84,13.84,"2,562.94",95.67,4.28,0.05,0.67,1.07,20.67,77.59,25.73,73.91,0.36,0,0,0,0,0,0,0,0
21,ASSAM,2018,1,4,Nalbari,5,"1,786","1,903",0,1.07,12.82,1.48,1.48,640.95,99.68,0.32,0,9.25,22.12,13.77,54.86,77.04,22.18,0.78,0,0,0,0,0,0,0,0
22,ASSAM,2018,1,4,Sivasagar,6,300,301,0,0.25,0.4584,0,0,147.87,75.08,24.92,0,3.32,1.99,42.52,52.17,55.48,42.86,1.66,0,0,0,4,0,0,4,112
23,ASSAM,2018,1,4,Sonitpur,6,"1,148","1,149",0,0.87,10.16,0,0,521.2,88.95,11.05,0,1.04,7.66,8.62,82.68,34.03,64.06,1.91,0,0,0,0,0,0,0,0
24,ASSAM,2018,1,4,Tinsukia,4,"3,311","2,677",643,2.17,25.97,14.41,14.41,"1,298.54",89.19,10.75,0.06,0.48,5.54,87.86,6.12,74.46,25.48,0.06,0,0,0,0,0,0,0,0
25,ASSAM,2018,1,4,Udalguri,2,180,180,0,0.21,2.55,1.01,1.01,127.62,96.11,3.89,0,0,45.56,16.67,37.77,37.22,61.67,1.11,0,0,0,0,0,0,0,0
1,CHHATTISGARH,2018,1,4,Balod,429,"85,027","89,521","2,483",129.99,974.44,"2,046.53","2,046.53","48,721.85",87.15,12.77,0.08,4.92,30.06,58.64,6.38,32.7,46.78,20.52,0,5,0,786,0,0,791,"7,727"
2,CHHATTISGARH,2018,1,4,Baloda Bazar,623,"86,026","97,579","4,410",125.17,943.78,"2,161.57","2,161.57","47,189.07",89.31,10.64,0.05,19.54,11.15,64.92,4.39,14.03,74.38,11.59,0,1,0,"3,565",0,0,"3,566","23,861"
3,CHHATTISGARH,2018,1,4,Balrampur,403,"11,272","11,133",857,27.21,145.98,110.47,110.47,"7,299.10",90.76,9.07,0.17,1.9,46.31,30.73,21.06,24.45,48.82,26.73,0,0,0,109,0,0,109,"1,153"
4,CHHATTISGARH,2018,1,4,Bastar,332,"27,408","19,232","10,875",43.49,261.32,455.97,455.97,"13,066.07",82.9,17.04,0.06,1.49,70.44,16.28,11.79,22.76,61.88,15.36,0,0,0,"1,257",0,0,"1,257","10,849"
5,CHHATTISGARH,2018,1,4,Bemetara,399,"81,029","95,890","9,581",147.97,"1,054.34","3,038.94","3,038.94","52,717.22",89.33,10.59,0.08,11.99,2.51,76.82,8.68,17.82,59.96,22.22,0,2,0,"10,380",0,0,"10,382","50,536"
6,CHHATTISGARH,2018,1,4,Bijapur,128,"5,045","4,796",523,13.32,74.68,199.92,199.92,"3,733.93",82.08,17.79,0.13,7.48,75.9,10.85,5.77,25.34,61.89,12.77,0,0,0,306,0,0,306,"2,595"
7,CHHATTISGARH,2018,1,4,Bilaspur,650,"49,568","47,054","5,400",82.32,657.15,"1,573.69","1,573.69","32,857.34",88.36,11.53,0.11,18.03,17.28,54.97,9.72,19.33,58.25,22.42,0,0,0,"6,134",0,0,"6,134","30,406"
8,CHHATTISGARH,2018,1,4,Dakshin Bastar Dantewada,124,"8,639","1,761","7,539",21.02,113.5,283.75,283.75,"5,674.83",87.63,12.32,0.05,3.25,77.22,15.97,3.56,26.15,59.14,14.71,0,0,0,"1,122",0,0,"1,122","5,318"
9,CHHATTISGARH,2018,1,4,Dhamtari,369,"62,560","64,601","8,720",81.67,673.41,"1,071.72","1,071.72","33,670.67",87.98,11.98,0.04,4.57,27.12,64.76,3.55,17.98,63.28,18.74,0,14,0,"1,675",0,0,"1,689","17,188"
10,CHHATTISGARH,2018,1,4,Durg,337,"60,773","69,771","2,030",95.98,796.62,"1,426.19","1,426.19","39,831.03",86.32,13.58,0.1,8.91,3.29,80.84,6.96,20.82,55.05,24.13,0,5,0,"1,918",0,0,"1,923","14,564"
11,CHHATTISGARH,2018,1,4,Gariyaband,337,"38,773","39,199","6,619",61.13,439.47,933.7,933.7,"21,973.60",87.75,12.17,0.08,5.96,36.96,53.09,3.99,16.53,67.92,15.55,0,25,0,791,0,0,816,"8,265"
12,CHHATTISGARH,2018,1,4,Janjgir - Champa,648,"63,199","65,752",202,109.56,970.34,772.47,772.47,"48,517.10",90.34,9.57,0.09,21.82,8.64,63.55,5.99,20.99,60.69,18.32,0,0,0,"2,569",0,0,"2,569","22,642"
13,CHHATTISGARH,2018,1,4,Jashpur,420,"8,982","8,881",697,19.83,103.07,77.44,77.44,"5,153.65",93.44,6.34,0.22,4.74,58.33,31.01,5.92,19.71,49.66,30.63,0,0,0,758,0,0,758,"4,340"
14,CHHATTISGARH,2018,1,4,Kabeerdham,466,"57,967","67,519","2,442",94.73,714.55,"2,771.01","2,771.01","35,727.33",90.66,9.18,0.16,8.13,10.63,73.64,7.6,19.09,58.15,22.76,0,2,0,"7,236",0,0,"7,238","37,599"
15,CHHATTISGARH,2018,1,4,Kondagaon,297,"21,923","16,749","5,714",33.85,202.84,417.74,417.74,"10,142.04",87.22,12.7,0.08,2.06,74.06,21.1,2.78,15.62,72.98,11.4,0,0,0,"2,025",0,0,"2,025","12,949"
16,CHHATTISGARH,2018,1,4,Korba,405,"14,577","13,890","1,849",31.52,205.81,259.4,259.4,"10,290.60",90.62,9.23,0.15,6.99,58.92,30.88,3.21,30.06,47.35,22.59,0,0,0,"1,899",0,0,"1,899","8,818"
17,CHHATTISGARH,2018,1,4,Koriya,298,"13,827","12,313","2,420",23.85,130.1,412.34,412.34,"6,504.95",89.01,10.6,0.39,3.69,51.01,37.6,7.7,6.53,54.98,38.49,0,0,0,"2,055",0,0,"2,055","9,756"
18,CHHATTISGARH,2018,1,4,Mahasamund,558,"75,140","75,400","9,748",150.34,"1,047.98","2,304.13","2,304.13","52,398.81",87.14,12.78,0.08,8.16,21.96,65.48,4.4,22.27,55.09,22.64,0,0,0,"16,568",0,0,"16,568","52,790"
19,CHHATTISGARH,2018,1,4,Mungeli,350,"27,594","29,228",667,51.83,412.14,328.65,328.65,"20,607.12",90.91,8.98,0.11,24.22,4.89,56.9,13.99,18.9,62.12,18.98,0,0,0,"4,062",0,0,"4,062","18,945"
20,CHHATTISGARH,2018,1,4,Narayanpur,59,"2,034","1,981",197,3.9,23.43,64.66,64.66,"1,171.46",87.51,12.44,0.05,7.53,69.51,16.85,6.11,26.17,51.01,22.82,0,0,0,220,0,0,220,"1,426"
21,CHHATTISGARH,2018,1,4,Raigarh,738,"49,498","47,575","4,779",101.58,576.64,956.99,956.99,"28,832.10",92.1,7.74,0.16,8.65,23.16,62.11,6.08,28.36,44.24,27.4,0,1,0,"2,787",0,0,"2,788","20,685"
22,CHHATTISGARH,2018,1,4,Raipur,425,"61,374","70,741","3,072",88.32,743.02,"1,350.30","1,350.30","37,150.93",87.58,12.36,0.06,15.21,3.05,76.96,4.78,16.65,64.63,18.72,0,1,0,"2,790",0,0,"2,791","14,890"
23,CHHATTISGARH,2018,1,4,Rajnandgaon,836,"1,77,592","1,61,575","52,704",281.49,"2,043.72","7,504.33","7,504.33","1,02,185.99",86.56,13.36,0.08,5.86,23.2,66.51,4.43,21.57,59.32,19.11,0,0,0,"24,040",0,0,"24,040","1,13,651"
24,CHHATTISGARH,2018,1,4,Sukma,106,"2,885","2,408",742,7.83,42.3,137.42,137.42,"2,114.99",89.75,10.19,0.06,0.25,78.76,7.37,13.62,24.16,46,29.84,0,0,0,606,0,0,606,"1,976"
25,CHHATTISGARH,2018,1,4,Surajpur,420,"19,058","17,815","2,123",33.78,182.56,273.68,273.68,"9,127.82",91.61,8.16,0.23,1.96,43.77,46.67,7.6,24.13,62.56,13.31,0,0,0,854,0,0,854,"6,617"
26,CHHATTISGARH,2018,1,4,Surguja,403,"25,930","20,243","7,841",31.36,171.53,90.97,90.97,"8,576.36",90.14,9.67,0.19,2.66,67.9,23.05,6.39,15.21,55.83,28.96,0,0,0,185,0,0,185,"3,690"
27,CHHATTISGARH,2018,1,4,Uttar Bastar Kanker,430,"53,880","43,803","12,134",96.28,595.3,"1,167.28","1,167.28","29,765.11",80.02,19.89,0.09,2.74,57.97,22.55,16.74,20.15,62.36,17.49,0,0,0,"4,849",0,0,"4,849","29,030"
1,GOA,2018,1,4,North Goa,4,4,4,1,0,0.0588,0.0011,0.0011,2.94,100,0,0,0,0,0,100,40,60,0,0,0,0,1,0,0,1,3
2,GOA,2018,1,4,South Goa,12,316,334,0,0.27,3.23,0.0047,0.0047,322.1,76.95,23.05,0,0,34.73,0,65.27,0.9,98.8,0.3,0,0,0,9,0,0,9,25
1,GUJARAT,2018,1,4,Banas Kantha,2,31,31,0,0.03,0.4555,0.152,0.152,10.8,96.77,3.23,0,0,0,6.45,93.55,3.23,96.77,0,0,0,0,0,0,0,0,0
2,GUJARAT,2018,1,4,Patan,3,22,22,0,0.02,0.4312,0.2758,0.2758,8.79,95.45,4.55,0,0,0,77.27,22.73,72.73,27.27,0,0,0,0,0,0,0,0,0
1,HARYANA,2018,1,4,Ambala,481,"21,184","22,895",26,30.56,449.25,112.85,112.47,"22,462.68",92.74,7.23,0.03,2.24,0.16,34.23,63.37,12.75,67.54,19.71,0,0,0,"3,416",0,0,"3,416","13,786"
2,HARYANA,2018,1,4,Bhiwani,277,"34,413","43,853","1,172",56.08,732.03,"2,590.11","1,723.25","36,601.34",92.74,7.21,0.05,1.21,0.15,8.9,89.74,18.95,58.65,22.4,0,668,0,"12,736",0,0,"13,404","28,671"
3,HARYANA,2018,1,4,Charkhi Dadri,168,"11,620","15,160",293,16.88,216.04,900.16,664.64,"10,801.87",94.65,5.34,0.01,1.5,0.01,6.88,91.61,12.52,69.3,18.18,0,367,0,"2,566",0,0,"2,933","8,385"
4,HARYANA,2018,1,4,Faridabad,136,"4,230","4,319",59,4.93,71.66,45.72,44.98,"3,582.98",93.35,6.56,0.09,1.55,0.05,16.19,82.21,29.17,46.28,24.55,0,0,0,0,0,0,0,0
5,HARYANA,2018,1,4,Fatehabad,248,"49,701","57,097",420,95.35,"1,386.26","2,789.18","1,754.02","69,313.25",88.88,11.05,0.07,1.5,0.09,15.58,82.83,15.04,59.08,25.88,0,345,0,"5,673",0,0,"6,018","23,816"
6,HARYANA,2018,1,4,Gurgaon,230,"8,506","9,859",165,10.57,122.11,100.11,36.73,"6,105.27",94.33,5.5,0.17,0.86,0.11,53.35,45.68,17.96,64.85,17.19,0,0,0,373,0,0,373,"2,256"
7,HARYANA,2018,1,4,Hisar,280,"76,919","83,276",237,119.1,"1,704.52","6,832.86","4,850.94","85,226.28",92.2,7.75,0.05,0.81,0.08,9.97,89.14,17.83,57.02,25.15,0,0,0,"11,287",0,0,"11,287","43,742"
8,HARYANA,2018,1,4,Jhajjar,262,"17,569","20,117",245,22.3,299.33,"1,031.25",968.91,"14,966.29",94.63,5.34,0.03,0.26,0.02,12.57,87.15,17.09,68.76,14.15,0,550,0,502,0,0,"1,052","4,134"
9,HARYANA,2018,1,4,Jind,311,"52,981","56,162",745,85.42,"1,244.85","2,135.93","1,530.78","62,242.77",95.35,4.61,0.04,0.35,0.03,9.35,90.27,6.78,70.87,22.35,0,0,0,"7,085",0,0,"7,085","28,928"
10,HARYANA,2018,1,4,Kaithal,278,"45,466","47,946",118,75.74,"1,112.88",621.26,601.97,"55,644.01",93.51,6.47,0.02,1.2,0.14,11.74,86.92,15.74,59.51,24.75,0,"1,257",0,"1,779",0,0,"3,036","20,129"
11,HARYANA,2018,1,4,Karnal,431,"34,679","36,127",84,55.93,822.16,309.15,308.42,"41,107.80",91.98,7.97,0.05,1.17,0.12,20.82,77.89,17.04,62.52,20.44,0,0,0,"1,967",0,0,"1,967","11,003"
12,HARYANA,2018,1,4,Kurukshetra,418,"29,100","30,980",120,46.62,684.69,153.4,152.95,"34,243.06",91.34,8.63,0.03,0.81,0.14,26.49,72.56,15.28,61.94,22.78,0,434,0,"3,255",0,0,"3,689","18,988"
13,HARYANA,2018,1,4,Mahendragarh,370,"23,642","30,949",106,26.19,257.21,391.72,188.24,"12,860.42",93.53,6.44,0.03,0.22,0.05,53.62,46.11,15.09,76.06,8.85,0,0,0,844,0,0,844,"8,329"
14,HARYANA,2018,1,4,Mewat,369,"5,942","6,263",94,7.21,88.89,131.32,105.52,"4,444.73",92.12,7.83,0.05,0.58,0.02,65.74,33.66,25.59,58.61,15.8,0,126,0,148,0,0,274,"1,787"
15,HARYANA,2018,1,4,Palwal,280,"17,473","17,798",469,19.99,289.41,354.86,236.36,"14,470.35",92.84,7.07,0.09,0.98,0.06,13.35,85.61,19.71,66.09,14.2,0,539,0,310,0,0,849,"4,855"
16,HARYANA,2018,1,4,Panchkula,192,"4,159","4,480",27,3.69,51.99,165.73,165.64,"2,599.65",94.03,5.88,0.09,1.84,0,37.12,61.04,13.98,71.82,14.2,0,105,0,44,0,0,149,658
17,HARYANA,2018,1,4,Panipat,194,"18,103","18,705",155,25.33,372.29,183.05,182.65,"18,614.38",93.09,6.87,0.04,0.89,0.08,15.22,83.81,20.39,59.55,20.06,0,419,0,177,0,0,596,"3,366"
18,HARYANA,2018,1,4,Rewari,405,"33,015","38,998",145,27.15,255.83,749.17,600.91,"12,791.56",95.22,4.71,0.07,1,0.31,59.4,39.29,15.7,73.44,10.86,0,509,0,"2,573",0,0,"3,082","15,331"
19,HARYANA,2018,1,4,Rohtak,147,"21,873","23,359",245,24.05,346.13,"1,560.41","1,499.34","17,306.40",93.91,6.04,0.05,0.24,0.05,5.75,93.96,14.26,68.56,17.18,0,672,0,218,0,0,890,"4,315"
20,HARYANA,2018,1,4,Sirsa,335,"71,555","78,408",245,146.18,"2,111.63","3,958.48","1,565.96","1,05,581.83",88.14,11.81,0.05,1.31,0.19,14.48,84.02,19.79,52.67,27.54,0,0,0,"15,625",0,0,"15,625","37,513"
21,HARYANA,2018,1,4,Sonipat,337,"37,766","38,195",335,47.33,693.78,349.28,347.4,"34,688.99",95.44,4.53,0.03,0.22,0.05,5.75,93.98,16.21,65.89,17.9,0,0,0,"2,831",0,0,"2,831","10,619"
22,HARYANA,2018,1,4,Yamunanagar,629,"16,994","17,661",64,18.53,272.08,98.45,98.15,"13,603.99",92.11,7.84,0.05,3.07,0.22,27.78,68.93,18.8,65.68,15.52,0,383,0,619,0,0,"1,002","8,732"
1,HIMACHAL PRADESH,2018,1,4,Bilaspur,7,"10,606","10,797",18,4.4,26.41,5.2,5.2,"1,320.56",92.98,6.96,0.06,8.4,1.6,3.88,86.12,48.69,48.64,2.67,0,0,0,408,0,0,408,"8,260"
2,HIMACHAL PRADESH,2018,1,4,Chamba,12,"3,450","3,547",26,1,3.08,0,0,300.02,93.67,6.24,0.09,7.64,21.83,1.37,69.16,24.41,67.14,8.45,0,0,0,3,0,0,3,263
3,HIMACHAL PRADESH,2018,1,4,Hamirpur,10,"19,389","19,169",706,6.15,36.56,2.53,2.53,"1,845.02",90.37,9.59,0.04,4.4,0.35,4.7,90.55,38.7,42.53,18.77,0,0,0,128,0,0,128,"8,114"
4,HIMACHAL PRADESH,2018,1,4,Kangra,34,"28,217","30,124",135,10.58,60.43,2.6,2.6,"3,173.18",92.88,7.08,0.04,4.18,1.67,15.14,79.01,27.95,54.41,17.64,0,0,0,97,0,0,97,"5,605"
5,HIMACHAL PRADESH,2018,1,4,Kullu,1,1,0,2,0,0.0027,0,0,0.144,0,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0
6,HIMACHAL PRADESH,2018,1,4,Mandi,23,"3,876","4,570",0,1.61,6.52,0,0,482.91,92.67,7.26,0.07,8.05,0.96,3.35,87.64,25.93,70.13,3.94,0,0,0,6,0,0,6,605
7,HIMACHAL PRADESH,2018,1,4,Shimla,5,272,268,7,0.11,0.623,0,0,32.79,90.55,9.09,0.36,6.91,0,0.73,92.36,59.27,38.55,2.18,0,0,0,0,0,0,0,0
8,HIMACHAL PRADESH,2018,1,4,Sirmaur,10,"1,399","1,575",41,0.6,2.56,0,0,178.99,94.18,5.82,0,16.89,1.98,19.86,61.27,25.87,66.21,7.92,0,0,0,0,0,0,0,365
9,HIMACHAL PRADESH,2018,1,4,Solan,12,"3,180","3,735",10,2.09,12.53,0.3229,0.3229,626.72,93.38,6.52,0.1,11.94,6.19,14.02,67.85,35.46,60.16,4.38,0,0,0,28,0,0,28,"1,644"
10,HIMACHAL PRADESH,2018,1,4,Una,12,"11,969","12,179",41,4.95,16.94,0,0,"1,485.95",92.28,7.71,0.01,5.44,1.67,14.08,78.81,46,48.65,5.35,0,0,0,6,0,0,6,"2,708"
1,JAMMU AND KASHMIR,2018,1,4,Doda,16,"8,042","7,714",384,6.08,97.92,77.12,77.12,"4,895.89",96.38,3.57,0.05,1.49,0.38,38.91,59.22,3.01,94.12,2.87,0,14,0,55,0,0,69,"1,713"
2,JAMMU AND KASHMIR,2018,1,4,Jammu,20,"18,057","18,489",100,15.12,287.86,506.45,506.45,"14,393.06",94.94,5.02,0.04,7.91,2.28,1.92,87.89,34.65,34.45,30.9,0,44,0,176,0,0,220,"4,049"
3,JAMMU AND KASHMIR,2018,1,4,Kathua,19,"18,132","19,820",2,14.53,277.6,159.14,159.14,"13,879.88",97.88,2.08,0.04,5.91,1.43,1.79,90.87,37.37,44.46,18.17,0,47,0,100,0,0,147,"3,395"
4,JAMMU AND KASHMIR,2018,1,4,Kishtwar,12,"2,906","2,334",618,2.12,34.07,160.65,160.65,"1,703.47",95.87,4.13,0,3.32,1.69,0.27,94.72,26.49,73.31,0.2,0,0,0,800,0,0,800,"2,269"
5,JAMMU AND KASHMIR,2018,1,4,Punch,11,"4,283","4,366",0,3.1,49.94,45.04,45.04,"2,496.91",97.96,2.02,0.02,0.02,6.12,21.58,72.28,29.78,61.73,8.49,0,15,0,0,0,0,15,105
6,JAMMU AND KASHMIR,2018,1,4,Rajouri,20,"3,847","3,889",7,2.07,33.21,33.58,33.58,"1,660.26",97.46,2.54,0,3.77,14.35,2.31,79.57,43.12,52.93,3.95,0,0,0,8,0,0,8,54
7,JAMMU AND KASHMIR,2018,1,4,Ramban,11,"3,500","3,434",174,3.23,52.97,40.3,40.3,"2,648.31",97.23,2.69,0.08,1.97,1.61,35.42,61,5.79,94.12,0.09,0,68,0,663,0,0,731,"2,867"
8,JAMMU AND KASHMIR,2018,1,4,Reasi,12,"6,751","6,850",3,3.85,61.66,48.51,48.51,"3,082.89",96.22,3.71,0.07,2.38,8.87,8.16,80.59,6.39,83.61,10,0,6,0,0,0,0,6,75
9,JAMMU AND KASHMIR,2018,1,4,Samba,9,"6,962","6,173",984,4.01,76.64,217.81,217.81,"3,831.82",93.06,6.92,0.02,9.88,1.61,2.19,86.32,23.12,65.89,10.99,0,0,0,108,0,0,108,"3,001"
10,JAMMU AND KASHMIR,2018,1,4,Udhampur,18,"11,228","11,318",2,8.64,145.16,512.1,512.1,"7,257.93",97.46,2.49,0.05,8.12,1.48,1.23,89.17,47.59,30.16,22.25,0,0,0,280,0,0,280,"3,472"
1,JHARKHAND,2018,1,4,Bokaro,199,"48,873","6,154","46,984",20.05,0,953.3,721.89,"11,570.70",75.61,24.22,0.17,5.47,12.63,71.97,9.93,20.24,78.25,1.51,0,0,0,"2,671",0,0,"2,671","32,765"
2,JHARKHAND,2018,1,4,Chatra,165,"76,688","10,385","1,08,290",52.82,0,"1,741.87","1,107.37","31,725.50",67.06,32.87,0.07,11.13,2.82,69.16,16.89,59.26,27.87,12.87,0,0,0,215,0,0,215,"6,237"
3,JHARKHAND,2018,1,4,Deoghar,204,"70,868","9,364","64,665",43.54,0,"1,609.49","1,072.99","26,824.89",80.44,19.48,0.08,6.97,6.06,59.01,27.96,12.86,83.54,3.6,0,0,0,"17,178",0,0,"17,178","68,666"
